played_at,title,url,channel,duration,video_id,thumbnail,queue_id
2026-07-14T18:33:10+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,0ffd0589d41b479daeb2b0baf6aee8bd
2026-07-14T18:34:20+02:00,"Falco - Brillantin' Brutal' (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=AWW80r6R7W0,FALCO,3:36,AWW80r6R7W0,https://i.ytimg.com/vi/AWW80r6R7W0/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLAL9HJYM1UOFQTWKlvCnobGjQtwHQ,Musiknazi,7898a16646eb428489e27be603f9c706
2026-07-14T18:34:41+02:00,"Falco - Junge Roemer (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=DAPWGjMFW6Q,FALCO,4:25,DAPWGjMFW6Q,https://i.ytimg.com/vi/DAPWGjMFW6Q/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLAjhHb0AphJw5SooqluHe7mn6Lj4A,Musiknazi,55af85f60c48410686d01f2f4c11f704
2026-07-14T18:38:05+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,8d15abcac4c3406b83468bc925a4bd9c
2026-07-14T18:43:35+02:00,"Falco - Kann es Liebe sein (Aus dem Film ""Helden von Heute"" 20.10.1984)",https://www.youtube.com/watch?v=NcQtYyl91ls,FALCO,3:07,NcQtYyl91ls,https://i.ytimg.com/vi/NcQtYyl91ls/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC8xg=&rs=AOn4CLDRciTDDCmktSnLoCV2KkPH3VLpxA,Musiknazi,e27000ed7bd44723ac123c3d2f0358c9
2026-07-15T17:34:14+02:00,Falco - Mutter Der Mann Mit Dem Koks Ist Da [Official Music Video],https://www.youtube.com/watch?v=0m7bHdcq87o,Falcofan94,3:46,0m7bHdcq87o,https://i.ytimg.com/vi/0m7bHdcq87o/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gSAAuADigIMCAAQARhmIGYoZjAP&rs=AOn4CLArqgkKw1hG8j_uba-bP5WbLROCSA,Julia,c1eaae15fbae422e92832f0ee1404f1a
2026-07-15T18:01:05+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,ecb1a0792e214ebca1adb0ce0b6fb6a4
2026-07-15T18:07:51+02:00,SSIO - Ich Bin Raus | A COLORS SHOW,https://www.youtube.com/watch?v=rl0HAGx6X0I,COLORS and SSIO,2:34,rl0HAGx6X0I,https://i.ytimg.com/vi/rl0HAGx6X0I/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC9xg=&rs=AOn4CLDmlJjGsErQtX0aA42lmwDE4KvKHw,Julia,0e2a9366acb24521814dd5f97220e5ba
2026-07-15T19:59:42+02:00,SSIO - Ich Bin Raus | A COLORS SHOW,https://www.youtube.com/watch?v=rl0HAGx6X0I,COLORS and SSIO,2:34,rl0HAGx6X0I,https://i.ytimg.com/vi/rl0HAGx6X0I/hq720.jpg?sqp=-oaymwEgCNAFEJQDSFXyq4qpAxIIARUAAIhCGAFwAcABBrgC9xg=&rs=AOn4CLDmlJjGsErQtX0aA42lmwDE4KvKHw,Julia,9e6636a42ca34d6cae943ddbd80ec704
2026-07-15T20:24:50+02:00,Falco - Mutter Der Mann Mit Dem Koks Ist Da [Official Music Video],https://www.youtube.com/watch?v=0m7bHdcq87o,Falcofan94,3:46,0m7bHdcq87o,https://i.ytimg.com/vi/0m7bHdcq87o/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gSAAuADigIMCAAQARhmIGYoZjAP&rs=AOn4CLArqgkKw1hG8j_uba-bP5WbLROCSA,Julia,58dbbb9f397645ffaf95ded2bbcad5b9
2026-07-15T20:31:04+02:00,SSIO - Nullkommaneun (prod. von Reaf),https://www.youtube.com/watch?v=Slei8n08Cqk,SSIO,6:42,Slei8n08Cqk,https://i.ytimg.com/vi/Slei8n08Cqk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT0QKPh0BlCJxMnnzvRyUOxI1-dw,Julia,05e6a449b2f444b6b7aa05094fbe0e54
2026-07-15T20:32:02+02:00,SSIO - Nullkommaneun (prod.Reaf) w/o intro,https://www.youtube.com/watch?v=SLKh8tzGElo,Sufferthefunk',3:29,SLKh8tzGElo,https://i.ytimg.com/vi/SLKh8tzGElo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGZjKWz4uyQv3j1VHmyLWavj3PRg,Julia,6f6ab4f2737b465eb307d79c2fe6f965
